'Year','Ethnic','Gender','2012 (Additive Strategies (Anniversary))','2013','2014','2015','2016','2017','2012 (Numeral Identification (Anniversary))','2013','2014','2015','2016','2017','2012 (Forwards Number Sequences (Anniversary))','2013','2014','2015','2016','2017','2012 (Backwards Number Sequences (Anniversary))','2013','2014','2015','2016','2017','2012 (Fraction Knowledge (Anniversary))','2013','2014','2015','2016','2017','2012 (Grouping and Place Value Knowledge (Anniversary))','2013','2014','2015','2016','2017','2012 (Basic Facts (Anniversary))','2013','2014','2015','2016','2017','2012 (Jam Overall Anniversary (Anniversary))','2013','2014','2015','2016','2017','2012 (Multiplicative and Fraction Strategies (Anniversary))','2013','2014','2015','2016','2017','2012 (Algebra-Patterns (Anniversary))','2013','2014','2015','2016','2017','2012 (Geometry- Shape (Anniversary))','2013','2014','2015','2016','2017'
'Y5','NZ European','Male','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S4','S4','','','','','S5Early','S5Early','','','','','','S5Early','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S3','','','','','','S0-1','','','','','','S3','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','Early Level 2','','','','','','Early Level 2'
'Y0','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ European','Male','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S2','','','','','S2','S2','','','','','S0-1','S5Early','','','','','S2','S4','','','','','S0-1','S2','','','','','S2','S4','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','S2','S5Early','','','','','S4','S5Early','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S3','','','','','S2','S4','','','','','S2','S3','','','','','S2','S4','','','','','','S4','','','','','','','','','','','','',''
'Y4','NZ Maori','Female','','','S2','S4','','','','','S4','S5Early','','','','','S2','S4','','','','','S4','S4','','','','','S0-1','S2','','','','','S2','S4','','','','','S2','S4','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Male','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S3','','','','','','S4','','','','','','S0-1','','','','','','S3','','','','','','S4','','','','','','At Level 1','','','','','','Early Level 1'
'Y5','NZ European','Female','','S2','S4','','','','','S2','S2','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S0-1','','','','','S2','S2','','','','','S2','S2','','','','','S2','S2','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','S2','S4','','','','','S2','S2','','','','','S3','S5Early','','','','','S3','S4','','','','','S0-1','S0-1','','','','','S3','S3','','','','','','S5Early','','','','','','S4','','','','','','S3','','','','','','','','','','','',''
'Y2','NZ Maori','Male','','','','','S3','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S3','','','','','','S2','','','','','','S3','','','','','','S0-1','','','','','','Early Level 2','','','','','','Pre Level 1',''
'Y5','NZ Maori','Female','','S2','S2','','','','','S2','S4','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S4','','','','','S2','S4','','','','','S0-1','S2','','','','','S2','S2','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ Maori','Male','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S0-1','S2','','','','','S4','S4','','','','','S2','S4','','','','','S4','S4','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ Maori','Male','','S2','S4','','','','','S2','S4','','','','','S0-1','S4','','','','','S0-1','S2','','','','','S0-1','S0-1','','','','','S2','S2','','','','','S2','S2','','','','','S2','S2','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S0-1','','','','','','S0-1','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','','','','','','','',''
'Y3','NZ Maori','Male','','','','S2','S5Early','S5Early','','','','S0-1','S5Early','S5Early','','','','S2','S5Early','S5Early','','','','S2','S5Early','S5Early','','','','S2','S5Early','S3','','','','S2','S4','S4','','','','S2','S5Early','S4','','','','S2','S5Early','S5Early','','','','','','S5Early','','','','','','','','','','','',''
'Y5','German','Female','','S4','S4','','','','','S2','S5Early','','','','','S2','S4','','','','','S0-1','S4','','','','','S0-1','S2','','','','','S2','S4','','','','','S2','S2','','','','','S2','S4','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','British / Irish','Male','','','S4','S5Early','','','','','S2','S5Early','','','','','S4','S4','','','','','S2','S4','','','','','S2','S2','','','','','S2','S4','','','','','S2','S4','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y2','British / Irish','Female','','','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','S4','','','','','','S0-1','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','Early Level 2','','','','','','Early Level 1'
'Y6','NZ European','Male','S2','S4','','','','','','S5Early','','','','','S2','S5Early','','','','','','S5Early','','','','','S0-1','S0-1','','','','','S2','S4','','','','','S0-1','S5Early','','','','','','S5Early','','','','','','','','','','','At Level 1','','','','','','Early Level 1','','','','',''
'Y1','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ Maori','Female','','','S2','','','','','','S4','','','','','','S2','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','S2','S4','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S3','','','','','S2','S4','','','','','S0-1','S3','','','','','S2','S4','','','','','','S5Early','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S4','S5Early','','','','','','S5Early','','','','','','Early Level 2','','','','','','Early Level 2',''
'Y1','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ European','Male','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S4','','','','','S2','S4','','','','','S2','S4','','','','','S2','S5Early','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S2','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','Early Level 1','','','','','','Early Level 1'
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','','S4','','','','','','Early Level 2','','','','','','Early Level 2',''
'Y4','NZ European','Male','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','S2','S2','','','','','S0-1','S5Early','','','','','S2','S3','','','','','S0-1','S2','','','','','S0-1','S0-1','','','','','S0-1','S2','','','','','S0-1','S0-1','','','','','S2','S2','','','','','S2','S2','','','','','Pre Level 1','At Level 1','','','','','Early Level 1','Early Level 1'
'Y4','NZ European','Male','','','S2','S2','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S4','','','','','S0-1','S0-1','','','','','S2','S2','','','','','S0-1','S2','','','','','S2','S0-1','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Female','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S4','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Male','','','S4','S5Early','','','','','S4','S4','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','S4','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S2','S4','','','','','S2','S3','','','','','S2','S4','','','','','S2','S3','','','','','S2','S4','','','','','','S4','','','','','','','','','','','','',''
'Y6','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S3','','','','','','S4','','','','','','S5Early','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','At Level 1','','','','','','At Level 1',''
'Y6','British / Irish','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','British / Irish','Male','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S0-1','S2','','','','','S2','S4','','','','','S0-1','S4','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S2','','','','','','Early Level 1','','','','','','Early Level 1'
'Y4','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','Australian','Female','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','','','','','','','','','','','','','','','',''
'Y0','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Female','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S0-1','','','','','','S0-1','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','','','','','','',''
'Y4','NZ European','Male','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S4','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S4','S4','','','','','S2','S4','','','','','S4','S5Early','','','','','','S5Early','','','','','','Early Level 2','','','','','','Early Level 2',''
'Y4','NZ European','Male','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S2','S5Early','','','','','S0-1','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S4','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','At Level 1','','','','','','At Level 1',''
'Y6','NZ European','Female','S4','','','','','','','','','','','','S4','','','','','','','','','','','','','','','','','','S4','','','','','','S4','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Female','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','Early Level 2','','','','','','At Level 1'
'Y5','NZ European','Female','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','','','','','','','','','','','','','','','',''
'Y0','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y0','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','S2','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S4','S4','','','','','S2','S4','','','','','S2','S5Early','','','','','','S5Early','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S3','','','','','','S2','','','','','','','','','','','','',''
'Y6','NZ Maori','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ Maori','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','British / Irish','Female','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S0-1','S4','','','','','S4','S4','','','','','S4','S4','','','','','S4','S4','','','','','S4','S4','','','','','Early Level 2','Early Level 2','','','','','At Level 1','At Level 1'
'Y6','NZ European','Female','S2','S4','','','','','','S5Early','','','','','S4','S5Early','','','','','','S5Early','','','','','S2','S5Early','','','','','S2','S4','','','','','S2','S4','','','','','','S4','','','','','S2','S4','','','','','At Level 1','','','','','','At Level 1','','','','',''
'Y4','NZ European','Female','','','S2','S2','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S2','','','','','S0-1','S0-1','','','','','S2','S2','','','','','S2','S2','','','','','S2','S2','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S2','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S4','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S4','','','','','S2','S5Early','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','Niue','Female','','','','','S2','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S4','','','','','S2','S3','','','','','S2','S4','','','','','S2','S3','','','','','S2','S4','','','','','','S4','','','','','','','','','','','',''
'Y1','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','British / Irish','Male','S2','','','','','','','','','','','','S2','','','','','','','','','','','','','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','S4','S4','','','','','','S5Early','','','','','S2','S4','','','','','','S4','','','','','S2','S4','','','','','S2','S4','','','','','S0-1','S4','','','','','','','','','','','','','','','','','At Level 1','','','','','','At Level 1','','','','',''
'Y4','NZ Maori','Female','','','S2','S4','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S4','','','','','S2','S2','','','','','S2','S4','','','','','S2','S2','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ Maori','Female','','','S4','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Male','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S2','','','','','','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Female','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S4','S4','','','','','S2','S2','','','','','S4','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y6','Other Asian','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','Other Asian','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','NZ European','Female','','','S4','','','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','S4','S5Early','','','','','S5Early','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S5Early','S5Early','','','','','S4','S5Early','','','','','S4','S4','','','','','S4','S5Early','','','','','','S5Early','','','','','','Early Level 2','','','','','','Early Level 2',''
'Y6','NZ European','Male','','S4','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','S2','S5Early','','','','','','S5Early','','','','','S2','S5Early','','','','','','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','','S5Early','','','','','','','','','','','Early Level 2','','','','','','Early Level 2','','','','',''
'Y1','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','S2','S4','','','','','','S5Early','','','','','S2','S4','','','','','','S4','','','','','S2','S2','','','','','S2','S4','','','','','S2','S4','','','','','','','','','','','S2','','','','','','At Level 1','','','','','','At Level 1','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y0','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','Other Pacific Isl Group','Male','','','S4','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S2','S4','','','','','S2','S4','','','','','S2','S5Early','','','','','','','','','','','','','','','','','','','',''
'Y2','Other Pacific Isl Group','Male','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S3','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S4','','','','','','','','','','','','',''
'Y1','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Female','','','','','S2','','','','','','S4','','','','','','S3','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S2','','','','','','S3','','','','','','S0-1','','','','','','','','','','','','',''
'Y4','NZ European','Male','','','','S4','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S0-1','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ Maori','Male','','','','','','S2','','','','','','S4','','','','','','S3','','','','','','S4','','','','','','S0-1','','','','','','S2','','','','','','S3','','','','','','S3','','','','','','S0-1','','','','','','Early Level 1','','','','','','Pre Level 1'
'Y4','NZ Maori','Female','','','','S4','','','','','','S5Early','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S4','','','','','','','','','','','','','','','','','','','',''
'Y0','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Female','','','','','','S2','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S2','','','','','','S3','','','','','','S2','','','','','S3','S3','','','','','','S2','','','','','','Early Level 2','','','','','','Early Level 2'
'Y1','British / Irish','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','Japanese','Male','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Female','S2','','','','','','','','','','','','S2','','','','','','','','','','','','','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','Other Asian','Female','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S2','S5Early','','','','','S0-1','S0-1','','','','','S4','S4','','','','','S4','S4','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y6','Tongan','Female','S2','','','','','','','','','','','','S2','','','','','','','','','','','','','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y2','NZ European','Male','','','','','S2','','','','','','S3','','','','','','S3','','','','','','S2','','','','','','S0-1','','','','','','S3','','','','','','S0-1','','','','','','S3','','','','','','','','','','','','','','','','','','',''
'Y6','NZ Maori','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y5','Korean','Female','','','S4','','','','','','S5Early','','','','','','S4','','','','','','S4','','','','','','S2','','','','','','S4','','','','','','S5Early','','','','','','S4','','','','','','','','','','','','','','','','','','','','',''
'Y1','Korean','Male','','','','','','S4','','','','','','S4','','','','','','S3','','','','','','S3','','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','','','','','','',''
'Y4','Korean','Female','','','S2','S5Early','','','','','S4','S5Early','','','','','S4','S5Early','','','','','S2','S5Early','','','','','S0-1','S2','','','','','S4','S4','','','','','S2','S4','','','','','S2','S4','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y4','NZ European','Female','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','S0-1','','','','','','S2','','','','','','','','','','','','','','','','','','','','',''
'Y3','NZ European','Male','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','S2','','','','','','','','','','','','','','','','','','',''
'Y5','NZ Maori','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ Maori','Female','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S5Early','','','','','','S3','','','','','','S4','','','','','','S3','','','','','','S4','','','','','','S4','','','','','','At Level 1','','','','','','At Level 1'
'Y6','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y6','Indian','Male','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
'Y1','NZ European','Female','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','','',''
